ANIO,OPERADOR_ID,DIAMETRO_PULG,EDAD_ANIOS,PRESION_MAX_PSI,PRESION_INCIDENTE_PSI,RECUBRIMIENTO,CLASE_UBICACION,COSTA_AFUERA,CAUSA,IGNICION,COSTO_USD,GAS_LIBERADO_MPCS,IND_CORROSION_GALVANICA
2010,19160,36.0,36.0,1200.0,810.0,OTRO,1,1,FALLA DE MATERIAL O SOLDADURA,0,730951.0,1.0,0
2010,19160,30.0,62.0,750.0,671.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,105438.0,14980.0,0
2010,13710,12.0,41.0,1654.0,1429.0,ALQUITRAN,1,0,CORROSION,1,2511486.0,10201.0,0
2010,18646,16.0,34.0,1200.0,775.0,OTRO,1,1,CORROSION,0,375808.0,1.0,0
2010,15007,6.0,25.0,650.0,250.0,ASFALTO,1,0,DANO POR EXCAVACION,0,99811.0,8500.0,0
2010,2564,20.0,63.0,920.0,808.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,126966.0,313870.0,0
2010,12576,20.0,0.0,200.0,182.0,OTRO,3,0,OTRA FUERZA EXTERNA,0,189015.0,1897.0,0
2010,19160,24.0,63.0,750.0,717.0,ALQUITRAN,1,0,CORROSION,0,472989.0,69908.0,0
2010,22655,8.625,30.0,918.0,626.0,CINTA FRIA,1,0,DANO POR EXCAVACION,1,564787.0,3910.0,0
2010,18532,10.75,0.0,650.0,320.0,OTRO,3,0,DANO POR EXCAVACION,0,249635.0,10.0,0
2010,19235,20.0,35.0,1440.0,762.0,OTRO,1,1,CORROSION,0,802937.0,424.0,0
2010,602,6.0,51.0,800.0,632.0,ASFALTO,1,0,CORROSION,0,210740.0,31653.0,1
2011,19160,26.0,43.0,1200.0,777.0,ALQUITRAN,1,0,CORROSION,0,910402.0,1.0,0
2011,602,12.75,67.0,500.0,295.0,SIN RECUBRIMIENTO,1,0,FUERZA NATURAL,0,225949.0,52874.0,0
2011,12576,22.0,64.0,720.0,679.0,OTRO,1,0,DANO POR EXCAVACION,0,150588.0,841.0,0
2011,19160,26.0,43.0,1200.0,833.0,ALQUITRAN,1,0,CORROSION,0,1425798.0,1.0,0
2011,5304,24.0,52.0,975.0,717.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,588704.0,53.0,0
2011,19160,30.0,36.0,1250.0,900.0,ALQUITRAN,1,1,CORROSION,0,993300.0,1.0,0
2011,30769,16.0,63.0,250.0,222.0,ALQUITRAN,3,0,FUERZA NATURAL,0,67077.0,3913.0,0
2011,19160,36.0,48.0,790.0,733.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,1,3391703.0,62374.0,0
2011,602,16.0,48.0,1000.0,864.0,OTRO,1,0,OTRA CAUSA,0,179591.0,770.0,0
2011,18516,24.0,63.0,500.0,290.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,201985.0,2100.0,0
2011,31618,8.625,30.0,1318.0,1100.0,OTRO,1,0,DANO POR EXCAVACION,0,19306.0,3120.0,0
2011,19160,26.0,61.0,790.0,709.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,395861.0,29745.0,0
2011,31618,20.0,49.0,1045.0,145.0,OTRO,1,0,OTRA CAUSA,0,3067643.0,1000.0,0
2011,5304,2.0,45.0,975.0,960.0,OTRO,1,0,DANO POR EXCAVACION,0,80455.0,3524.0,0
2011,19160,26.0,61.0,790.0,678.0,ALQUITRAN,2,0,FALLA DE MATERIAL O SOLDADURA,0,230770.0,1000.0,0
2011,6640,6.625,47.0,480.0,400.0,OTRO,1,0,FUERZA NATURAL,0,203521.0,5500.0,0
2011,405,12.75,43.0,1300.0,250.0,ALQUITRAN,1,1,CORROSION,0,552009.0,2000.0,0
2011,13750,6.0,44.0,796.0,700.0,OTRO,1,0,DANO POR EXCAVACION,0,268325.0,4114.0,0
2011,31712,30.0,3.0,999.0,803.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,313294.0,63.5,0
2011,13845,24.0,19.0,850.0,713.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,160632.0,1920.0,0
2011,15105,6.625,30.0,1875.0,1639.0,OTRO,1,0,CORROSION,0,143078.0,45000.0,0
2011,31618,20.0,61.0,575.0,538.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,104297.0,14395.0,0
2011,19730,16.0,33.0,1440.0,840.0,ALQUITRAN,1,0,CORROSION,0,2220562.0,5000.0,0
2011,19160,16.0,50.0,1069.0,700.0,ALQUITRAN,1,1,FALLA DE MATERIAL O SOLDADURA,0,381007.0,675.0,0
2011,31978,12.75,59.0,500.0,348.0,ALQUITRAN,2,0,DANO POR EXCAVACION,0,100651.0,1059.0,0
2011,15007,16.0,69.0,510.0,360.0,ASFALTO,1,0,DANO POR EXCAVACION,0,77696.0,2000.0,0
2011,22175,12.0,43.0,1300.0,920.0,OTRO,1,1,CORROSION,0,205710.0,1320.0,0
2011,19160,30.0,36.0,1250.0,247.0,ALQUITRAN,1,1,CORROSION,0,941929.0,1000.0,0
2011,2616,8.625,57.0,1215.0,966.0,ALQUITRAN,1,0,CORROSION,0,197016.0,55629.0,0
2011,18484,18.0,67.0,650.0,590.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,256743.0,3270.0,0
2011,32487,30.0,1.0,1440.0,1340.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,7858746.0,50555.0,0
2011,4280,4.5,59.0,845.0,650.0,ALQUITRAN,2,0,DANO POR EXCAVACION,0,207170.0,18341.0,0
2011,4280,30.0,58.0,845.0,740.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,484112.0,81475.0,0
2011,32296,22.0,42.0,1182.0,920.0,ALQUITRAN,1,1,CORROSION,0,296672.0,2000.0,0
2011,19160,12.75,37.0,1250.0,868.0,ALQUITRAN,1,1,CORROSION,0,325758.0,45.0,0
2011,31711,12.0,24.0,450.0,371.0,CINTA FRIA,1,0,DANO POR EXCAVACION,0,188749.0,17700.0,0
2011,19160,26.0,43.0,1200.0,100.0,OTRO,1,1,CORROSION,0,1345569.0,4.0,0
2011,9011,6.625,36.0,1186.0,760.0,OTRO,2,0,OTRA FUERZA EXTERNA,0,50399.0,5311.0,0
2011,2196,6.0,50.0,565.0,450.0,OTRO,3,0,FUERZA NATURAL,0,616030.0,11666.0,0
2011,15007,12.0,81.0,350.0,323.0,ASFALTO,1,0,DANO POR EXCAVACION,0,71604.0,1500.0,0
2011,19160,26.0,63.0,750.0,708.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,122209.0,50000.0,0
2011,15007,16.0,50.0,450.0,341.0,ASFALTO,3,0,CORROSION,0,2385601.0,11.0,1
2011,31286,4.0,37.0,180.0,160.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,87588.0,4106.0,0
2011,19570,26.0,43.0,1250.0,805.0,OTRO,1,0,CORROSION,0,908024.0,225.0,0
2011,13750,6.625,44.0,975.0,528.0,OTRO,1,0,DANO POR EXCAVACION,0,91422.0,1700.0,0
