campo,fecha,dias,oil_bpd,agua_bpd,gas_ksm3d
ALBUSKJELL,1981-01-01,31,22933.4,0.0,5038.71
ALBUSKJELL,1981-02-01,28,25588.3,0.0,5485.71
ALBUSKJELL,1981-03-01,31,28742.4,0.0,6340.32
ALBUSKJELL,1981-04-01,30,27071.3,0.0,6248.0
ALBUSKJELL,1981-05-01,31,26630.2,0.0,6111.61
ALBUSKJELL,1981-06-01,30,25989.5,0.0,6534.33
ALBUSKJELL,1981-07-01,31,26595.7,0.0,6735.16
ALBUSKJELL,1981-08-01,31,10499.9,0.0,2508.06
ALBUSKJELL,1981-09-01,30,28991.8,0.0,8070.67
ALBUSKJELL,1981-10-01,31,22698.1,0.0,6653.55
ALBUSKJELL,1981-11-01,30,24066.9,0.0,6628.0
ALBUSKJELL,1981-12-01,31,25471.7,0.0,7597.74
ALBUSKJELL,1982-01-01,31,24682.4,0.0,7595.16
ALBUSKJELL,1982-02-01,28,22710.7,0.0,7149.64
ALBUSKJELL,1982-03-01,31,21251.4,0.0,6874.52
ALBUSKJELL,1982-04-01,30,19083.3,0.0,6079.67
ALBUSKJELL,1982-05-01,31,15848.3,0.0,5242.58
ALBUSKJELL,1982-06-01,30,18636.7,0.0,6034.67
ALBUSKJELL,1982-07-01,31,15836.1,0.0,5509.68
ALBUSKJELL,1982-08-01,31,13301.9,0.0,4519.68
ALBUSKJELL,1982-09-01,30,11862.6,0.0,4247.67
ALBUSKJELL,1982-10-01,31,10075.9,0.0,3544.19
ALBUSKJELL,1982-11-01,30,11678.1,0.0,4465.0
ALBUSKJELL,1982-12-01,31,12553.2,0.0,4558.71
ALBUSKJELL,1983-01-01,31,12474.1,0.0,4406.13
ALBUSKJELL,1983-02-01,28,14619.3,0.0,4930.36
ALBUSKJELL,1983-03-01,31,14070.9,0.0,5071.61
ALBUSKJELL,1983-04-01,30,13101.7,0.0,4800.0
ALBUSKJELL,1983-05-01,31,12003.4,0.0,4638.71
ALBUSKJELL,1983-06-01,30,12627.8,0.0,4657.33
ALBUSKJELL,1983-07-01,31,12210.3,0.0,4862.58
ALBUSKJELL,1983-08-01,31,10719.0,0.0,4219.35
ALBUSKJELL,1983-09-01,30,10870.9,0.0,4209.67
ALBUSKJELL,1983-10-01,31,10800.2,0.0,4356.45
ALBUSKJELL,1983-11-01,30,10617.2,0.0,4196.33
ALBUSKJELL,1983-12-01,31,10315.3,0.0,4077.74
ALBUSKJELL,1984-01-01,31,9917.6,0.0,4124.84
ALBUSKJELL,1984-02-01,29,9521.5,0.0,3878.97
ALBUSKJELL,1984-03-01,31,9404.3,0.0,3799.35
ALBUSKJELL,1984-04-01,30,9262.8,0.0,3594.33
ALBUSKJELL,1984-05-01,31,8767.2,0.0,3425.81
ALBUSKJELL,1984-06-01,30,7583.4,0.0,2967.67
ALBUSKJELL,1984-07-01,31,7582.3,0.0,2860.0
ALBUSKJELL,1984-08-01,31,5851.5,0.0,2236.45
ALBUSKJELL,1984-09-01,30,7122.2,0.0,3189.67
ALBUSKJELL,1984-10-01,31,6933.0,0.0,3022.26
ALBUSKJELL,1984-11-01,30,6665.1,0.0,2894.0
ALBUSKJELL,1984-12-01,31,6642.8,0.0,2841.61
ALBUSKJELL,1985-01-01,31,6941.1,0.0,3078.06
ALBUSKJELL,1985-02-01,28,7071.5,0.0,2956.43
ALBUSKJELL,1985-03-01,31,6920.8,0.0,2887.74
ALBUSKJELL,1985-04-01,30,6698.6,0.0,2923.33
ALBUSKJELL,1985-05-01,31,6358.8,0.0,2864.52
ALBUSKJELL,1985-06-01,30,5698.6,0.0,2587.33
ALBUSKJELL,1985-07-01,31,5833.3,0.0,2795.81
ALBUSKJELL,1985-08-01,31,5739.9,0.0,2706.45
ALBUSKJELL,1985-09-01,30,5642.0,0.0,2619.0
ALBUSKJELL,1985-10-01,31,5721.7,0.0,2839.03
ALBUSKJELL,1985-11-01,30,5730.0,0.0,2777.67
ALBUSKJELL,1985-12-01,31,5589.8,0.0,2706.13
ALBUSKJELL,1986-01-01,31,5348.4,0.0,2611.61
ALBUSKJELL,1986-02-01,28,5301.4,0.0,2547.14
ALBUSKJELL,1986-03-01,31,5064.3,0.0,2551.94
ALBUSKJELL,1986-04-01,30,2264.3,0.0,854.0
ALBUSKJELL,1986-05-01,31,5494.4,0.0,2650.0
ALBUSKJELL,1986-06-01,30,4954.3,0.0,2626.33
ALBUSKJELL,1986-07-01,31,5719.7,0.0,3300.32
ALBUSKJELL,1986-08-01,31,5368.6,0.0,3011.29
ALBUSKJELL,1986-09-01,30,5264.6,0.0,2864.33
ALBUSKJELL,1986-10-01,31,4867.5,0.0,2830.65
ALBUSKJELL,1986-11-01,30,4807.5,0.0,2653.67
ALBUSKJELL,1986-12-01,31,4496.2,0.0,2535.81
ALBUSKJELL,1987-01-01,31,4435.3,0.0,2605.16
ALBUSKJELL,1987-02-01,28,4486.0,0.0,2470.71
ALBUSKJELL,1987-03-01,31,4242.6,0.0,2412.9
ALBUSKJELL,1987-04-01,30,4142.9,0.0,2261.33
ALBUSKJELL,1987-05-01,31,3794.2,0.0,2362.26
ALBUSKJELL,1987-06-01,30,3895.5,0.0,2342.0
ALBUSKJELL,1987-07-01,31,3706.9,0.0,2195.81
