PROF,GR,DEN,NEU,RDEP,AC
3577.49,43.79,2.2581,34.32,0.964,104.07
3577.64,43.0,2.2555,30.35,1.149,99.46
3577.79,40.1,2.2699,35.71,0.978,98.46
3577.94,42.02,2.2917,40.91,1.026,114.55
3578.1,53.49,2.3347,38.16,1.096,113.83
3578.25,60.91,2.3764,42.27,0.999,114.55
3578.4,56.24,2.3889,54.42,0.932,116.32
3578.55,55.54,2.3363,33.53,1.035,116.34
3578.71,49.1,2.2609,58.66,1.016,115.79
3578.86,46.36,2.2636,59.66,0.963,110.01
3579.01,46.45,2.2995,38.87,1.012,108.55
3579.16,49.47,2.3265,32.72,1.088,109.45
3579.32,43.18,2.3586,38.87,1.206,95.72
3579.47,50.21,2.3784,45.52,1.451,127.84
3579.62,46.61,2.4186,41.5,1.683,117.96
3579.77,41.63,2.3934,34.35,1.734,121.2
3579.92,46.37,2.3077,44.62,1.716,123.85
3580.53,51.67,2.3246,60.4,1.509,117.85
3580.69,53.17,2.3243,58.9,1.272,114.58
3580.84,57.43,2.3324,48.57,1.201,110.13
3580.99,53.3,2.3399,53.28,1.12,112.07
3581.14,56.3,2.3542,38.39,1.027,115.21
3581.3,57.39,2.3874,67.21,0.952,143.16
3581.45,53.62,2.3973,51.96,0.943,138.06
3581.6,56.72,2.373,64.29,0.964,131.25
3581.75,51.06,2.3333,51.77,1.004,140.53
3581.91,54.27,2.3087,44.29,1.007,149.26
3582.06,44.59,2.3168,38.63,1.006,140.77
3582.21,51.51,2.3331,58.29,1.072,101.28
3582.36,46.82,2.3808,79.92,1.017,106.31
3582.52,54.44,2.4057,54.07,1.084,102.05
3582.67,52.41,2.4039,47.27,1.122,100.71
3582.82,62.19,2.4023,46.14,1.131,102.87
3582.97,62.79,2.3977,61.15,1.234,100.08
3583.13,49.08,2.3967,52.89,1.142,101.69
3583.28,55.54,2.4037,39.9,1.154,101.07
3583.43,50.88,2.3844,30.06,1.156,93.41
3583.58,51.12,2.3459,38.17,1.151,94.75
3583.73,53.93,2.3262,55.65,1.095,103.37
3583.89,53.69,2.3322,42.14,1.125,105.32
3584.04,54.39,2.3605,53.08,1.169,114.6
3584.19,60.8,2.3712,46.19,0.996,115.09
3584.34,63.71,2.373,41.21,1.012,117.0
3584.5,64.59,2.373,42.92,1.024,116.73
3584.65,65.36,2.3651,49.71,0.999,116.64
3584.8,60.49,2.3654,45.36,0.928,113.24
3584.95,57.28,2.3638,42.97,0.956,112.69
3585.11,57.04,2.3485,52.03,0.981,112.65
3585.26,67.14,2.33,50.56,0.98,107.57
3585.41,57.19,2.3226,34.57,0.975,104.64
3585.56,49.34,2.3208,34.64,1.064,105.92
3585.72,51.23,2.3119,39.57,1.034,105.52
3585.87,49.06,2.3084,55.64,0.964,106.96
3586.02,52.96,2.3124,40.17,1.111,106.45
3586.17,56.18,2.3163,44.66,1.062,107.26
3586.33,54.06,2.3162,52.44,0.984,111.93
3586.48,62.55,2.3325,53.97,0.918,110.94
3586.63,61.81,2.3605,47.56,0.864,111.98
3586.78,56.79,2.3611,42.48,0.935,109.89
3586.94,55.66,2.3532,37.68,0.91,112.88
3587.09,56.23,2.3599,46.58,0.97,112.93
3587.24,58.88,2.3804,36.28,0.983,112.9
3587.39,56.63,2.3985,44.4,0.857,111.57
3587.54,56.73,2.4091,38.02,0.893,111.63
3587.7,50.83,2.4105,48.04,0.855,108.13
3587.85,57.53,2.4023,40.44,0.884,112.1
3588.0,54.0,2.3747,34.65,0.921,110.01
3588.15,48.19,2.3334,35.4,1.018,106.57
3588.31,45.1,2.2794,35.01,0.989,104.74
3588.46,41.03,2.2373,34.27,1.102,102.32
3588.61,42.79,2.2341,29.87,1.163,103.36
3588.76,43.09,2.2456,27.28,1.175,103.54
3588.92,36.88,2.259,22.58,1.213,99.87
3589.07,39.98,2.2693,28.29,1.246,101.7
3589.22,40.71,2.2818,37.05,1.34,102.13
3589.37,46.35,2.2625,36.03,1.566,105.48
3589.53,44.61,2.2494,33.03,1.548,104.45
3589.68,45.61,2.2991,30.39,1.455,105.04
3589.83,40.31,2.3927,18.55,1.328,101.89
3589.98,41.08,2.4587,10.24,1.411,102.35
3590.14,33.56,2.5076,17.26,1.549,97.9
3590.29,34.98,2.5442,11.06,1.727,98.74
3590.44,39.36,2.53,12.37,1.777,101.34
3590.59,30.95,2.502,30.32,1.746,96.35
3590.75,42.58,2.4734,35.45,1.693,103.24
3590.9,49.85,2.4495,33.32,1.552,107.55
3591.05,60.79,2.3888,43.35,1.514,114.03
3591.2,56.19,2.3285,38.7,1.513,111.31
3591.35,58.16,2.3284,45.95,1.493,112.48
3591.51,58.54,2.3613,41.67,1.452,112.7
3591.66,58.37,2.373,48.88,1.3,112.6
3591.81,60.74,2.3734,43.53,1.202,114.0
3591.96,63.22,2.3759,54.84,1.238,115.47
3592.12,59.47,2.3734,34.72,1.218,113.25
3592.27,59.31,2.3517,34.81,1.191,113.16
3592.42,59.32,2.3133,50.06,1.293,113.16
3592.57,58.02,2.282,44.58,1.277,112.4
3592.73,50.74,2.2816,57.43,1.225,108.08
3592.88,50.58,2.3014,40.12,1.164,107.99
3593.03,51.21,2.3027,56.59,1.198,108.36
3593.18,64.36,2.2613,35.45,1.201,116.15
3593.34,61.09,2.2234,41.02,1.182,114.21
