PROF,GR,DEN,NEU,RDEP,AC
3794.81,32.51,2.197,20.46,0.397,96.73
3794.96,28.79,2.1921,25.71,0.394,96.38
3795.11,28.56,2.1804,20.95,0.392,95.98
3795.27,31.64,2.1705,23.54,0.391,95.98
3795.42,30.81,2.1702,24.51,0.388,95.46
3795.57,23.74,2.1752,22.84,0.385,95.57
3795.72,30.46,2.182,25.5,0.382,96.02
3795.88,30.46,2.1848,24.35,0.38,97.08
3796.03,26.32,2.1866,24.24,0.379,97.6
3796.18,33.9,2.1869,24.36,0.38,97.79
3796.33,30.9,2.1877,25.22,0.383,96.97
3796.49,29.59,2.192,24.95,0.385,95.61
3796.64,32.68,2.1927,22.19,0.389,95.01
3796.79,33.14,2.1923,21.1,0.394,94.69
3796.94,33.64,2.1867,20.6,0.396,94.77
3797.09,33.02,2.184,25.4,0.399,95.04
3797.25,32.92,2.1848,20.99,0.401,95.62
3797.4,34.04,2.1862,26.03,0.401,96.26
3797.55,33.49,2.1851,25.21,0.4,96.59
3797.7,35.26,2.1854,24.99,0.398,96.29
3797.86,30.78,2.1839,22.36,0.396,96.38
3798.01,31.92,2.1823,24.48,0.393,96.53
3798.16,32.52,2.1826,28.52,0.392,96.33
3798.31,26.99,2.1817,25.27,0.392,96.23
3798.47,33.88,2.1824,23.2,0.392,95.95
3798.62,25.7,2.1859,23.67,0.393,95.77
3798.77,26.76,2.1943,25.99,0.395,95.41
3798.92,29.78,2.2012,25.5,0.398,94.67
3799.08,27.03,2.2016,19.66,0.4,94.42
3799.23,30.71,2.2014,19.84,0.403,93.74
3799.38,29.93,2.2019,23.06,0.407,93.2
3799.53,28.26,2.203,21.5,0.411,93.04
3799.69,33.57,2.208,23.12,0.415,93.08
3799.84,31.64,2.2118,24.0,0.419,92.69
3799.99,33.52,2.2096,25.77,0.423,92.36
3800.14,29.79,2.2126,23.09,0.427,92.13
3800.3,31.04,2.2161,25.97,0.431,91.88
3800.45,32.96,2.2202,21.82,0.435,91.37
3800.6,32.17,2.223,28.32,0.438,90.54
3800.75,32.51,2.2277,25.69,0.444,89.99
3800.9,30.65,2.2342,24.12,0.449,89.24
3801.06,34.52,2.2409,20.66,0.452,88.91
3801.21,34.04,2.2447,24.78,0.454,88.58
3801.36,39.73,2.2468,23.64,0.454,88.42
3801.51,35.82,2.2517,18.73,0.453,88.03
3801.67,34.51,2.2578,20.28,0.456,88.23
3801.82,36.76,2.2601,18.42,0.458,88.53
3801.97,35.65,2.2595,21.25,0.459,87.96
3802.12,36.43,2.2601,22.92,0.459,87.89
3802.28,33.29,2.2635,21.65,0.459,87.21
3802.43,36.18,2.2732,19.02,0.459,87.47
3802.58,39.41,2.2862,21.66,0.463,86.4
3802.73,35.85,2.2902,20.11,0.486,87.09
3802.89,39.22,2.2886,21.25,0.513,86.93
3803.04,37.86,2.2863,17.35,0.553,86.83
3803.19,31.37,2.2885,17.0,0.598,84.15
3803.34,34.09,2.3021,16.88,0.657,87.55
3803.5,29.2,2.3283,8.8,0.732,87.7
3803.65,29.76,2.3772,7.22,0.819,83.24
3803.8,28.49,2.4486,7.01,0.93,75.7
3803.95,28.21,2.5102,9.1,1.086,67.69
3804.11,27.46,2.534,8.54,1.249,57.04
3804.26,31.6,2.5302,12.54,1.39,54.84
3804.41,37.23,2.5028,15.09,1.525,55.67
3804.56,49.06,2.4264,25.26,1.584,55.85
3804.71,51.75,2.3419,43.48,1.546,64.62
3804.87,58.77,2.3039,46.71,1.509,77.04
3805.02,58.97,2.2838,38.51,1.451,99.45
3805.17,54.55,2.2716,56.5,1.395,102.82
3805.32,55.23,2.2641,45.01,1.287,102.22
3805.48,52.49,2.2582,49.79,1.206,91.09
3805.63,46.22,2.2704,54.18,1.157,90.5
3805.78,56.93,2.2891,41.69,1.112,90.23
3805.93,45.88,2.3026,42.13,1.136,88.87
3806.09,51.13,2.3135,32.59,1.25,99.06
3806.24,49.29,2.3318,25.96,1.406,102.49
3806.39,50.25,2.3559,25.69,1.523,79.44
3806.54,40.34,2.3817,16.75,1.559,68.11
3806.7,42.42,2.4269,14.97,1.524,68.11
3806.85,29.72,2.4586,15.21,1.46,67.85
3807.0,30.09,2.3694,20.46,1.383,70.18
3807.15,29.62,2.2246,27.28,1.301,67.03
3807.31,31.5,2.136,29.27,1.187,70.9
3807.46,33.87,2.1106,33.92,1.051,102.52
3807.61,33.34,2.1113,32.59,0.918,111.89
3807.76,33.26,2.1196,28.68,0.769,115.26
3807.92,30.02,2.1312,28.91,0.596,115.56
3808.07,31.02,2.1394,26.17,0.478,115.82
3808.22,34.04,2.1297,30.78,0.394,116.67
3808.37,29.9,2.1178,26.64,0.344,115.89
3808.52,29.47,2.1176,29.03,0.323,115.92
3808.68,27.69,2.1206,30.13,0.312,118.57
3808.83,26.15,2.1244,36.47,0.307,116.25
3808.98,30.46,2.124,29.93,0.3,114.29
3809.13,30.46,2.1236,23.88,0.294,110.93
3809.29,31.45,2.1238,34.74,0.29,109.78
3809.44,33.33,2.1266,24.46,0.29,109.16
3809.59,31.42,2.1279,25.14,0.29,107.8
3809.74,28.82,2.128,25.59,0.294,105.48
3809.9,30.47,2.1283,29.79,0.3,110.34
3810.05,31.48,2.1293,27.21,0.308,110.53
3810.2,26.17,2.1349,26.43,0.319,110.46
3810.35,31.14,2.1428,30.2,0.329,109.7
3810.51,28.84,2.1495,27.74,0.335,109.0
3810.66,27.18,2.1522,26.42,0.341,108.45
3810.81,31.1,2.1578,23.48,0.348,108.9
3810.96,32.1,2.1724,23.48,0.355,107.5
3811.12,26.46,2.1758,27.52,0.363,104.65
3811.27,28.6,2.1701,24.52,0.371,104.88
3811.42,29.1,2.1576,24.3,0.373,103.11
3811.57,31.34,2.1513,26.69,0.377,104.79
3811.73,28.23,2.1508,32.73,0.382,107.53
3811.88,26.01,2.1499,34.21,0.383,108.28
3812.03,28.84,2.1547,26.93,0.383,109.19
3812.18,28.67,2.163,25.65,0.381,108.33
3812.33,30.22,2.1717,30.48,0.38,106.11
3812.49,23.29,2.1769,33.2,0.378,105.01
3812.64,24.93,2.1749,27.81,0.377,104.27
3812.79,28.11,2.1647,28.62,0.376,104.0
3812.94,26.44,2.1668,29.59,0.376,104.39
3813.1,30.71,2.1748,24.94,0.377,104.22
3813.25,23.0,2.1753,35.13,0.378,103.94
3813.4,33.6,2.1725,25.35,0.378,103.98
3813.55,29.03,2.1782,27.98,0.378,102.72
3813.71,30.26,2.1746,27.46,0.376,102.19
3813.86,29.56,2.1631,30.06,0.372,103.03
3814.01,30.69,2.1518,29.55,0.366,103.5
3814.16,30.03,2.1514,28.03,0.36,104.13
3814.32,27.56,2.1564,33.12,0.358,105.54
3814.47,34.04,2.1616,29.18,0.353,106.01
3814.62,30.59,2.1652,26.92,0.348,106.13
3814.77,30.52,2.1605,28.67,0.345,106.79
3814.93,35.21,2.1501,31.45,0.343,107.24
3815.08,29.69,2.149,29.95,0.342,107.72
3815.23,26.73,2.1506,26.92,0.341,108.43
3815.38,27.98,2.1555,30.37,0.341,108.2
3815.54,31.01,2.1599,27.45,0.339,107.78
3815.69,25.32,2.1612,34.9,0.337,107.56
3815.84,27.0,2.1565,26.88,0.337,107.72
3815.99,28.72,2.151,28.56,0.336,107.71
3816.14,26.95,2.1464,26.47,0.335,107.88
3816.3,30.34,2.1458,30.4,0.334,107.86
3816.45,30.46,2.1416,26.96,0.334,107.61
3816.6,32.26,2.1436,25.13,0.335,107.37
3816.75,31.68,2.1525,29.04,0.334,107.39
3816.91,27.89,2.1554,32.3,0.334,106.97
3817.06,31.35,2.1579,31.04,0.334,106.83
3817.21,29.33,2.1604,29.31,0.335,106.25
3817.36,31.17,2.1558,30.4,0.334,105.97
3817.52,33.92,2.1539,32.93,0.338,106.13
3817.67,27.46,2.155,27.58,0.34,106.44
3817.82,27.09,2.1521,31.08,0.343,106.43
3817.97,30.92,2.1513,32.28,0.344,106.51
3818.13,32.25,2.1531,32.47,0.351,106.35
3818.28,32.25,2.1469,25.29,0.343,106.28
3818.43,27.37,2.1419,28.6,0.341,106.56
3818.58,32.07,2.141,34.49,0.335,106.41
3818.74,30.39,2.1471,25.34,0.329,106.26
3818.89,24.91,2.1494,23.39,0.323,105.78
3819.04,30.9,2.1446,26.76,0.318,105.68
3819.19,27.48,2.1428,32.39,0.31,105.4
3819.35,32.74,2.1479,28.51,0.305,104.79
3819.5,31.21,2.1525,30.09,0.3,104.06
3819.65,29.49,2.1571,31.44,0.296,103.28
3819.8,29.88,2.161,18.72,0.292,103.25
3819.95,27.76,2.1552,58.95,0.288,103.77
3820.11,26.74,2.148,26.04,0.29,104.1
3820.26,29.56,2.1462,29.68,0.299,104.41
3820.41,29.56,2.1468,35.0,0.319,104.09
3820.56,28.67,2.1536,30.19,0.346,104.01
3820.72,25.4,2.1814,24.8,0.377,101.57
3820.87,27.27,2.2688,30.69,0.425,93.94
3821.02,27.56,2.3962,26.81,0.497,84.9
3821.17,27.59,2.4861,31.51,0.608,76.63
3821.33,31.15,2.5287,28.91,0.731,67.21
3821.48,45.64,2.5287,27.89,1.022,59.61
3821.63,44.78,2.4954,34.96,1.292,59.92
3821.78,47.2,2.4887,28.94,1.446,73.16
3821.94,39.56,2.4944,29.95,1.69,86.29
3822.09,42.42,2.5051,28.38,1.737,96.62
3822.24,50.89,2.5156,26.18,1.527,100.41
3822.39,49.93,2.517,26.76,1.376,97.3
3822.55,48.62,2.5106,27.13,1.327,98.09
3822.7,47.79,2.5025,30.39,1.307,96.5
3822.85,40.31,2.4892,29.18,1.316,95.21
3823.0,43.74,2.4869,32.02,1.319,96.24
3823.16,52.78,2.4858,29.95,1.311,96.66
3823.31,55.27,2.4739,25.78,1.234,97.62
3823.46,52.59,2.4595,11.63,1.105,99.13
3823.61,41.84,2.4447,13.29,1.02,99.14
3823.76,29.24,2.4302,11.41,0.96,103.84
3823.92,31.35,2.4132,10.88,0.905,107.77
3824.07,28.71,2.4066,11.27,0.896,108.35
3824.22,27.37,2.4187,15.45,0.988,109.11
3824.37,29.32,2.4356,15.85,1.107,105.91
3824.53,27.96,2.4653,16.8,1.196,95.57
3824.68,25.28,2.5153,16.3,1.294,85.21
3824.83,26.3,2.5579,15.47,1.402,71.26
3824.98,25.69,2.5368,16.98,1.51,64.21
3825.14,30.19,2.4571,18.22,1.579,67.29
3825.29,30.46,2.3957,18.11,1.59,72.15
3825.44,32.03,2.3975,19.43,1.563,77.91
3825.59,31.71,2.4178,17.56,1.493,85.21
3825.75,29.8,2.4295,18.52,1.401,89.9
3825.9,30.97,2.4288,16.28,1.348,89.57
3826.05,30.46,2.4331,17.41,1.303,87.64
3826.2,30.69,2.4398,13.91,1.268,86.05
3826.36,33.86,2.4402,19.91,1.255,85.22
3826.51,34.38,2.455,17.8,1.231,85.54
3826.66,38.52,2.4524,24.55,1.229,86.67
3826.81,38.03,2.4463,20.42,1.237,86.13
3826.97,23.06,2.4497,18.79,1.257,92.76
3827.12,14.65,2.4516,18.98,1.292,91.14
3827.27,12.32,2.4548,21.23,1.37,88.91
3827.42,11.03,2.4623,23.78,1.399,87.76
3827.57,12.54,2.4691,17.85,1.377,79.39
3827.73,16.35,2.4652,20.28,1.332,79.56
3827.88,14.77,2.4468,19.02,1.314,79.02
3828.03,18.49,2.4336,20.93,1.311,79.97
3828.18,17.02,2.4447,20.51,1.301,79.6
3828.34,15.22,2.4582,20.34,1.283,78.86
3828.49,13.27,2.4568,19.82,1.271,79.09
3828.64,13.17,2.446,24.36,1.235,79.0
3828.79,13.25,2.4499,19.53,1.236,79.5
3828.95,12.54,2.4574,17.61,1.254,80.33
3829.1,13.87,2.4554,21.13,1.251,80.27
3829.25,13.19,2.4442,17.96,1.238,79.13
3829.4,9.69,2.4482,17.71,1.266,78.85
3829.56,14.47,2.4784,19.34,1.315,79.73
3829.71,12.43,2.4882,15.41,1.339,80.44
3829.86,12.46,2.4834,18.95,1.363,80.41
3830.01,10.75,2.471,17.22,1.399,78.86
3830.17,14.06,2.4615,15.74,1.444,77.71
3830.32,12.87,2.4517,15.97,1.467,77.15
3830.47,10.28,2.4283,20.04,1.463,78.43
3830.62,10.91,2.4113,19.34,1.52,77.13
3830.78,8.47,2.4274,21.75,1.562,75.5
3830.93,12.92,2.4727,19.4,1.573,75.64
3831.08,12.59,2.5143,19.04,1.572,75.63
3831.23,12.13,2.5417,14.1,1.575,75.58
3831.38,9.04,2.5426,18.82,1.59,78.21
3831.54,11.24,2.5407,18.32,1.568,78.58
3831.69,9.86,2.5407,17.92,1.577,78.38
3831.84,10.23,2.5352,22.82,1.622,76.81
3831.99,9.85,2.5143,18.06,1.658,74.19
3832.15,11.81,2.4842,18.96,1.688,70.58
3832.3,9.12,2.4458,18.91,1.698,69.65
3832.45,12.68,2.4229,17.92,1.726,69.47
3832.6,17.75,2.4253,18.06,1.746,69.2
3832.76,17.21,2.4388,17.14,1.748,71.22
3832.91,12.98,2.4571,19.64,1.743,73.24
3833.06,16.12,2.462,20.43,1.717,74.09
3833.21,14.96,2.4513,22.02,1.684,73.93
3833.37,19.41,2.4328,20.98,1.638,73.61
3833.52,15.15,2.399,19.27,1.582,74.87
3833.67,14.44,2.381,19.31,1.515,75.01
3833.82,17.97,2.3769,18.51,1.478,78.65
3833.98,19.54,2.3854,16.37,1.456,80.17
3834.13,14.09,2.393,19.34,1.423,77.5
3834.28,14.77,2.3945,16.66,1.408,77.14
3834.43,15.88,2.4148,21.18,1.381,77.09
3834.59,13.82,2.4384,14.91,1.35,77.11
3834.74,13.44,2.4425,16.61,1.312,77.09
3834.89,11.97,2.44,20.85,1.31,77.01
3835.04,12.24,2.4316,18.06,1.311,77.08
3835.19,11.92,2.4158,21.11,1.307,77.09
3835.35,11.4,2.4116,20.43,1.311,77.01
3835.5,8.61,2.4083,17.16,1.309,77.03
3835.65,13.63,2.3934,17.64,1.31,77.07
3835.8,12.54,2.3938,16.5,1.299,77.15
3835.96,11.78,2.4018,16.52,1.292,77.01
3836.11,12.43,2.4162,16.64,1.276,77.0
3836.26,12.54,2.4254,16.38,1.259,76.89
3836.41,9.07,2.4237,15.5,1.247,76.38
3836.57,8.96,2.428,15.47,1.249,76.34
3836.72,12.54,2.4223,14.99,1.25,76.22
3836.87,10.7,2.4042,19.4,1.241,76.39
3837.02,10.94,2.4133,20.3,1.221,76.39
3837.18,15.07,2.4327,19.31,1.25,78.63
3837.33,14.66,2.4405,14.65,1.271,78.55
3837.48,14.55,2.4437,12.91,1.278,77.56
3837.63,13.76,2.4438,15.41,1.278,76.45
3837.79,17.56,2.4439,14.89,1.259,76.21
3837.94,16.48,2.436,15.06,1.268,75.35
3838.09,15.96,2.4302,14.91,1.323,75.37
3838.24,16.21,2.4298,16.01,1.353,76.59
3838.4,12.84,2.4378,16.87,1.368,77.21
3838.55,13.6,2.4414,16.81,1.38,77.81
3838.7,14.33,2.446,16.16,1.414,77.68
3838.85,14.9,2.4668,17.4,1.441,77.53
3839.0,17.67,2.4984,14.7,1.476,76.38
3839.16,13.44,2.5151,14.19,1.497,75.8
3839.31,13.44,2.523,19.7,1.516,76.56
3839.46,17.59,2.5123,16.8,1.539,74.84
3839.61,16.45,2.474,17.11,1.566,74.18
3839.77,18.27,2.4411,19.04,1.573,74.4
3839.92,18.48,2.4271,16.09,1.598,74.56
3840.07,19.71,2.4237,15.43,1.637,74.53
3840.22,16.12,2.4314,14.34,1.62,74.77
3840.38,13.27,2.4328,17.9,1.643,74.91
3840.53,14.55,2.4227,20.2,1.568,74.98
3840.68,17.56,2.4159,25.64,1.387,75.23
3840.83,15.39,2.4171,25.6,1.539,77.61
3840.99,15.85,2.4136,18.15,1.55,78.05
3841.14,15.4,2.4116,20.59,1.545,80.26
3841.29,17.68,2.416,17.82,1.54,81.07
3841.44,13.49,2.4134,21.68,1.537,81.23
3841.6,16.96,2.4033,21.55,1.542,81.34
3841.75,18.81,2.389,22.36,1.541,81.36
3841.9,16.54,2.3848,22.37,1.544,81.08
3842.05,15.2,2.387,15.52,1.536,80.71
3842.21,14.82,2.3916,17.07,1.534,79.61
3842.36,22.13,2.4013,16.56,1.53,79.66
3842.51,18.43,2.4318,16.83,1.535,79.67
3842.66,20.52,2.473,17.4,1.55,79.48
3842.81,24.04,2.4989,17.52,1.533,78.14
3842.97,16.02,2.5139,16.74,1.568,77.3
3843.12,15.23,2.5141,16.22,1.635,77.38
3843.27,16.57,2.5056,17.27,1.697,77.67
3843.42,22.4,2.5039,19.25,1.713,77.5
3843.58,19.71,2.5042,14.84,1.726,77.28
3843.73,19.08,2.5037,17.25,1.731,76.01
3843.88,15.09,2.501,16.17,1.761,74.89
3844.03,15.32,2.4943,17.06,1.865,74.89
3844.19,18.13,2.4945,16.42,1.911,74.35
3844.34,18.81,2.4902,14.29,1.967,74.09
3844.49,18.08,2.4823,15.5,1.973,74.6
3844.64,14.72,2.4755,16.25,1.982,74.71
3844.8,17.65,2.4765,16.36,2.046,74.77
3844.95,14.1,2.4753,17.45,2.075,74.82
3845.1,16.42,2.4798,17.25,2.11,69.03
3845.25,15.5,2.4841,14.49,2.146,57.74
3845.41,20.83,2.4786,15.23,2.153,58.15
3845.56,22.84,2.4669,18.26,2.159,65.19
3845.71,20.06,2.4632,19.56,2.195,75.62
3845.86,18.17,2.4816,16.76,2.323,76.06
3846.02,21.97,2.5364,17.28,2.329,76.05
3846.17,22.56,2.5859,17.47,2.356,76.07
3846.32,18.06,2.5902,15.99,2.358,76.1
3846.47,22.37,2.5679,13.26,2.348,76.05
3846.62,22.06,2.556,13.57,2.344,76.14
3846.78,19.71,2.5541,16.11,2.335,75.94
3846.93,19.71,2.5548,11.66,2.322,76.05
3847.08,19.66,2.5578,13.91,2.313,76.06
3847.23,17.92,2.5702,8.72,2.306,76.13
3847.39,23.03,2.581,13.59,2.303,75.9
3847.54,19.84,2.5765,14.19,2.291,75.89
3847.69,18.89,2.5753,15.65,2.266,76.38
3847.84,20.79,2.6086,14.6,2.403,76.51
3848.0,14.5,2.6366,15.42,2.856,76.41
3848.15,20.12,2.6299,16.6,3.39,69.64
3848.3,17.42,2.6282,14.23,3.367,65.97
3848.45,19.71,2.6419,16.13,3.336,65.97
3848.61,19.71,2.6667,15.81,3.27,66.28
3848.76,19.71,2.6993,15.74,3.371,66.24
3848.91,14.52,2.6727,15.77,3.583,66.51
3849.06,16.53,2.5955,16.85,3.659,66.54
3849.22,22.43,2.5411,18.45,3.684,66.55
3849.37,22.41,2.5593,14.22,3.669,66.63
3849.52,20.43,2.5804,16.31,3.198,66.65
3849.67,22.39,2.5645,13.84,2.562,66.67
3849.83,25.17,2.5491,13.19,2.636,66.82
3849.98,26.21,2.5383,13.87,2.714,66.84
3850.13,19.09,2.5287,11.63,2.716,66.86
3850.28,24.81,2.5173,7.54,2.793,66.81
3850.43,22.97,2.5096,9.67,3.058,67.69
3850.59,13.77,2.5107,9.5,3.627,67.58
3850.74,12.74,2.5122,11.01,3.06,67.67
3850.89,15.7,2.5076,9.64,2.569,66.5
3851.04,12.4,2.5052,9.73,2.413,66.67
3851.2,12.6,2.4867,8.42,2.258,66.43
3851.35,11.56,2.4797,10.06,2.208,66.25
3851.5,9.08,2.5217,8.35,2.216,66.02
3851.65,9.36,2.6071,9.69,2.241,65.83
3851.81,8.07,2.6484,9.01,2.235,65.22
3851.96,8.06,2.5937,9.68,2.147,66.91
3852.11,7.17,2.5491,11.34,2.021,68.5
3852.26,7.17,2.51,10.57,1.758,68.41
3852.42,7.06,2.4807,10.31,1.643,68.59
3852.57,6.4,2.481,11.47,1.666,68.37
3852.72,7.32,2.4697,9.32,1.673,70.11
3852.87,6.26,2.4595,10.91,1.685,72.89
3853.03,7.17,2.4622,11.51,1.694,73.07
3853.18,7.17,2.4617,11.05,1.73,73.18
3853.33,5.77,2.4627,13.8,1.74,72.97
3853.48,5.09,2.4643,13.44,1.741,72.83
3853.64,6.43,2.4713,12.14,1.743,73.0
3853.79,7.17,2.4666,14.49,1.746,72.72
3853.94,6.27,2.4675,13.53,1.754,72.54
3854.09,6.27,2.4808,14.79,1.767,71.92
3854.24,7.38,2.4847,12.65,1.82,71.54
3854.4,6.04,2.4822,13.0,1.825,70.81
3854.55,6.27,2.4829,13.06,1.827,70.0
3854.7,6.97,2.4781,11.13,1.835,69.67
3854.85,8.33,2.4798,12.68,1.875,71.44
3855.01,7.5,2.4808,11.94,1.599,67.84
3855.16,6.27,2.4816,13.11,1.368,62.29
3855.31,8.54,2.485,12.33,1.368,62.45
3855.46,7.49,2.491,11.37,1.366,62.88
3855.62,6.5,2.4945,10.32,1.366,62.81
3855.77,6.47,2.4916,12.43,1.37,63.35
3855.92,7.0,2.4993,13.56,1.375,63.93
3856.07,5.75,2.5054,10.18,1.381,64.95
3856.23,4.6,2.4794,10.94,1.377,70.37
3856.38,7.17,2.4409,11.5,1.376,71.5
3856.53,8.03,2.4389,16.64,1.375,70.91
3856.68,4.98,2.4488,15.57,1.369,70.88
3856.84,4.47,2.4517,10.8,1.362,70.74
3856.99,6.73,2.4521,12.81,1.35,70.77
3857.14,6.25,2.4487,13.93,1.349,67.97
3857.29,5.37,2.4551,12.4,1.328,67.32
3857.45,7.17,2.4772,11.33,1.319,67.95
3857.6,8.19,2.4995,15.71,1.272,70.5
3857.75,7.98,2.4791,15.66,1.219,74.71
3857.9,8.24,2.4323,17.65,1.17,72.39
3858.05,4.69,2.3941,15.55,1.127,71.88
3858.21,7.4,2.3721,20.48,1.124,69.08
3858.36,6.27,2.3587,18.44,1.123,69.18
3858.51,6.27,2.3683,20.47,1.132,69.28
3858.66,6.43,2.3976,13.46,1.172,69.31
3858.82,6.55,2.4219,17.42,1.25,69.1
3858.97,8.06,2.4365,18.03,1.268,69.13
3859.12,7.42,2.4519,20.04,1.348,68.99
3859.27,7.89,2.4459,16.43,1.576,69.07
3859.43,7.18,2.4228,14.66,1.791,68.87
3859.58,8.72,2.4056,15.99,1.819,68.89
3859.73,8.76,2.4003,17.13,1.836,68.95
3859.88,8.96,2.4118,14.28,1.85,72.0
3860.04,4.59,2.4434,14.47,1.862,74.75
3860.19,6.28,2.4812,14.89,1.865,73.97
3860.34,6.75,2.5078,13.52,1.867,69.7
3860.49,6.27,2.5111,10.96,1.869,66.88
3860.65,4.71,2.5037,8.85,1.875,64.59
3860.8,7.71,2.5021,9.47,1.873,67.24
3860.95,7.17,2.4976,7.23,1.882,67.04
3861.1,7.31,2.4908,10.81,1.88,61.62
3861.26,3.76,2.4936,19.41,1.847,59.9
3861.41,6.76,2.5003,16.06,1.798,74.63
3861.56,7.13,2.5202,14.13,1.753,75.33
3861.71,6.74,2.5397,13.05,1.671,75.23
3861.86,7.16,2.5605,14.17,1.57,75.28
3862.02,6.73,2.5715,16.06,1.552,75.34
3862.17,5.44,2.5421,14.65,1.541,75.35
3862.32,7.09,2.4954,14.54,1.534,75.23
3862.47,6.32,2.4601,15.9,1.532,75.4
3862.63,6.66,2.4474,14.7,1.522,75.35
3862.78,5.53,2.4383,14.1,1.522,75.37
3862.93,5.55,2.4325,14.72,1.484,75.3
3863.08,6.58,2.4335,15.62,1.397,75.34
3863.24,6.7,2.4226,15.49,1.378,75.58
3863.39,8.7,2.4052,13.12,1.381,75.38
3863.54,7.17,2.4028,13.7,1.377,75.42
3863.69,6.43,2.4072,16.19,1.373,74.76
3863.85,7.79,2.4056,13.66,1.36,75.16
3864.0,5.03,2.4052,14.06,1.347,75.1
3864.15,7.81,2.4088,13.89,1.338,74.47
3864.3,4.9,2.4204,14.57,1.34,73.7
3864.46,4.92,2.4337,13.05,1.349,73.92
3864.61,6.27,2.4413,14.77,1.382,73.05
3864.76,6.97,2.4426,13.18,1.383,74.06
3864.91,5.28,2.4359,15.95,1.379,75.64
3865.07,8.62,2.4257,15.12,1.385,75.32
3865.22,4.19,2.4196,13.81,1.383,75.27
3865.37,6.6,2.4223,13.85,1.378,75.27
3865.52,7.17,2.4283,13.93,1.382,75.2
3865.67,7.17,2.4389,13.08,1.376,75.17
3865.83,6.97,2.4536,13.54,1.38,75.18
3865.98,8.06,2.4564,13.63,1.388,75.1
3866.13,7.02,2.4485,13.68,1.376,74.88
3866.28,7.23,2.4392,8.92,1.366,74.1
3866.44,8.56,2.4381,8.23,1.371,74.18
3866.59,5.47,2.4565,8.01,1.389,74.16
3866.74,7.67,2.4796,8.5,1.421,73.52
3866.89,7.16,2.4896,9.12,1.468,73.27
3867.05,6.27,2.5089,8.27,1.531,73.13
3867.2,6.33,2.5273,9.1,1.615,72.19
3867.35,7.99,2.5314,7.99,1.689,70.93
3867.5,5.67,2.5337,9.01,1.76,68.4
3867.66,8.71,2.5321,8.17,1.797,66.05
3867.81,7.24,2.537,8.16,1.784,62.92
3867.96,9.67,2.5266,8.71,1.709,64.37
3868.11,15.92,2.5139,10.01,1.982,68.6
3868.27,13.77,2.5195,14.54,2.116,73.31
3868.42,11.26,2.5305,18.08,2.115,78.13
3868.57,10.73,2.5329,18.13,2.107,78.92
3868.72,7.79,2.5421,16.07,2.098,78.13
3868.88,11.99,2.5618,15.35,2.086,77.51
3869.03,13.07,2.5422,14.72,2.068,77.16
3869.18,12.94,2.4668,16.93,2.051,76.47
3869.33,14.54,2.427,12.32,2.038,75.41
3869.48,16.57,2.4242,13.95,2.03,75.34
3869.64,15.05,2.4211,15.44,2.033,74.66
3869.79,12.82,2.4197,17.07,2.03,73.99
3869.94,12.28,2.4293,15.16,2.037,74.33
3870.09,13.1,2.4319,16.65,2.021,75.26
3870.25,10.48,2.4319,19.34,2.01,76.79
3870.4,11.08,2.4347,16.99,2.039,76.22
3870.55,13.69,2.4959,12.68,2.142,72.67
3870.7,10.98,2.5747,8.39,2.229,70.79
3870.86,12.74,2.5967,7.3,2.318,68.75
3871.01,8.41,2.6085,7.22,2.512,65.88
3871.16,12.69,2.61,7.79,2.747,64.64
3871.31,10.81,2.583,10.39,2.855,64.53
3871.47,12.85,2.5919,10.99,2.854,67.94
3871.62,13.47,2.6192,11.81,2.742,65.91
3871.77,15.19,2.5827,8.49,2.884,66.32
3871.92,9.9,2.5285,8.12,2.892,65.02
3872.08,8.03,2.5202,10.61,2.895,62.81
3872.23,6.35,2.5237,9.39,2.894,61.2
3872.38,6.96,2.5218,9.16,2.884,60.82
3872.53,8.01,2.5226,11.97,2.867,59.94
3872.69,7.17,2.5159,9.83,2.877,60.79
3872.84,7.17,2.5071,11.08,2.931,62.68
3872.99,6.09,2.5061,10.33,2.915,64.4
3873.14,7.17,2.511,12.27,2.885,64.16
3873.29,8.86,2.5194,11.9,2.849,64.49
3873.45,8.96,2.515,9.36,2.828,64.22
3873.6,6.01,2.5069,11.03,2.834,63.64
3873.75,9.7,2.5229,11.64,2.807,62.86
3873.9,6.49,2.5397,9.34,2.764,62.27
3874.06,7.17,2.5509,8.29,2.734,61.79
3874.21,7.17,2.5616,9.85,2.737,61.57
3874.36,6.27,2.5673,9.43,2.768,61.5
3874.51,6.27,2.5677,10.35,2.835,62.01
3874.67,7.3,2.5703,9.01,2.9,61.87
3874.82,5.48,2.5721,8.15,2.953,61.67
3874.97,9.49,2.5768,8.49,3.038,62.87
3875.12,9.3,2.5859,9.5,3.136,63.48
3875.28,6.27,2.5963,7.82,3.248,64.67
3875.43,4.76,2.6072,8.09,3.366,64.67
3875.58,6.85,2.6057,4.48,3.481,64.81
3875.73,8.61,2.5946,6.0,3.597,64.89
3875.89,6.27,2.586,6.09,3.721,64.85
3876.04,8.69,2.5889,6.22,3.867,65.08
3876.19,7.84,2.5933,6.11,4.013,65.04
3876.34,7.1,2.6053,5.58,4.166,65.21
3876.5,7.17,2.6082,7.0,4.359,65.4
3876.65,2.86,2.596,7.58,4.478,65.32
3876.8,7.17,2.5742,7.36,4.674,65.34
