fecha,pozo,horas,oil,gas,agua
2007-09-01,15/9-F-4,,,,
2007-09-01,15/9-F-5,,,,
2007-09-02,15/9-F-4,,,,
2007-09-02,15/9-F-5,,,,
2007-09-03,15/9-F-4,,,,
2007-09-03,15/9-F-5,,,,
2007-09-04,15/9-F-4,,,,
2007-09-04,15/9-F-5,,,,
2007-09-05,15/9-F-4,,,,
2007-09-05,15/9-F-5,,,,
2007-09-06,15/9-F-4,,,,
2007-09-06,15/9-F-5,,,,
2007-09-07,15/9-F-4,,,,
2007-09-07,15/9-F-5,,,,
2007-09-08,15/9-F-4,,,,
2007-09-08,15/9-F-5,,,,
2007-09-09,15/9-F-4,,,,
2007-09-09,15/9-F-5,,,,
2007-09-10,15/9-F-4,,,,
2007-09-10,15/9-F-5,,,,
2007-09-11,15/9-F-4,,,,
2007-09-11,15/9-F-5,,,,
2007-09-12,15/9-F-4,,,,
2007-09-12,15/9-F-5,,,,
2007-09-13,15/9-F-4,,,,
2007-09-13,15/9-F-5,,,,
2007-09-14,15/9-F-4,,,,
2007-09-14,15/9-F-5,,,,
2007-09-15,15/9-F-4,,,,
2007-09-15,15/9-F-5,,,,
2007-09-16,15/9-F-4,,,,
2007-09-16,15/9-F-5,,,,
2007-09-17,15/9-F-4,,,,
2007-09-17,15/9-F-5,,,,
2007-09-18,15/9-F-4,,,,
2007-09-18,15/9-F-5,,,,
2007-09-19,15/9-F-4,,,,
2007-09-19,15/9-F-5,,,,
2007-09-20,15/9-F-4,,,,
2007-09-20,15/9-F-5,,,,
2007-09-21,15/9-F-4,,,,
2007-09-21,15/9-F-5,,,,
2007-09-22,15/9-F-4,,,,
2007-09-22,15/9-F-5,,,,
2007-09-23,15/9-F-4,,,,
2007-09-23,15/9-F-5,,,,
2007-09-24,15/9-F-4,,,,
2007-09-24,15/9-F-5,,,,
2007-09-25,15/9-F-4,,,,
2007-09-25,15/9-F-5,,,,
2007-09-26,15/9-F-4,,,,
2007-09-26,15/9-F-5,,,,
2007-09-27,15/9-F-4,,,,
2007-09-27,15/9-F-5,,,,
2007-09-28,15/9-F-4,,,,
2007-09-28,15/9-F-5,,,,
2007-09-29,15/9-F-4,,,,
2007-09-29,15/9-F-5,,,,
2007-09-30,15/9-F-4,,,,
2007-09-30,15/9-F-5,,,,
2007-10-01,15/9-F-4,,,,
2007-10-01,15/9-F-5,,,,
2007-10-02,15/9-F-4,,,,
2007-10-02,15/9-F-5,,,,
2007-10-03,15/9-F-4,,,,
2007-10-03,15/9-F-5,,,,
2007-10-04,15/9-F-4,,,,
2007-10-04,15/9-F-5,,,,
2007-10-05,15/9-F-4,,,,
2007-10-05,15/9-F-5,,,,
2007-10-06,15/9-F-4,,,,
2007-10-06,15/9-F-5,,,,
2007-10-07,15/9-F-4,,,,
2007-10-07,15/9-F-5,,,,
2007-10-08,15/9-F-4,,,,
2007-10-08,15/9-F-5,,,,
2007-10-09,15/9-F-4,,,,
2007-10-09,15/9-F-5,,,,
2007-10-10,15/9-F-4,,,,
2007-10-10,15/9-F-5,,,,
2007-10-11,15/9-F-4,,,,
2007-10-11,15/9-F-5,,,,
2007-10-12,15/9-F-4,,,,
2007-10-12,15/9-F-5,,,,
2007-10-13,15/9-F-4,,,,
2007-10-13,15/9-F-5,,,,
2007-10-14,15/9-F-4,,,,
2007-10-14,15/9-F-5,,,,
2007-10-15,15/9-F-4,,,,
2007-10-15,15/9-F-5,,,,
2007-10-16,15/9-F-4,,,,
2007-10-16,15/9-F-5,,,,
2007-10-17,15/9-F-4,,,,
2007-10-17,15/9-F-5,,,,
2007-10-18,15/9-F-4,,,,
2007-10-18,15/9-F-5,,,,
2007-10-19,15/9-F-4,,,,
2007-10-19,15/9-F-5,,,,
2007-10-20,15/9-F-4,,,,
2007-10-20,15/9-F-5,,,,
2007-10-21,15/9-F-4,,,,
2007-10-21,15/9-F-5,,,,
2007-10-22,15/9-F-4,,,,
2007-10-22,15/9-F-5,,,,
2007-10-23,15/9-F-4,,,,
2007-10-23,15/9-F-5,,,,
2007-10-24,15/9-F-4,,,,
2007-10-24,15/9-F-5,,,,
2007-10-25,15/9-F-4,,,,
2007-10-25,15/9-F-5,,,,
2007-10-26,15/9-F-4,,,,
2007-10-26,15/9-F-5,,,,
2007-10-27,15/9-F-4,,,,
2007-10-27,15/9-F-5,,,,
2007-10-28,15/9-F-4,,,,
2007-10-28,15/9-F-5,,,,
2007-10-29,15/9-F-4,,,,
2007-10-29,15/9-F-5,,,,
2007-10-30,15/9-F-4,,,,
2007-10-30,15/9-F-5,,,,
2007-10-31,15/9-F-4,,,,
2007-10-31,15/9-F-5,,,,
2007-11-01,15/9-F-4,,,,
2007-11-01,15/9-F-5,,,,
2007-11-02,15/9-F-4,,,,
2007-11-02,15/9-F-5,,,,
2007-11-03,15/9-F-4,,,,
2007-11-03,15/9-F-5,,,,
2007-11-04,15/9-F-4,,,,
2007-11-04,15/9-F-5,,,,
2007-11-05,15/9-F-4,,,,
2007-11-05,15/9-F-5,,,,
2007-11-06,15/9-F-4,,,,
2007-11-06,15/9-F-5,,,,
2007-11-07,15/9-F-4,,,,
2007-11-07,15/9-F-5,,,,
2007-11-08,15/9-F-4,,,,
2007-11-08,15/9-F-5,,,,
2007-11-09,15/9-F-4,,,,
2007-11-09,15/9-F-5,,,,
2007-11-10,15/9-F-4,,,,
2007-11-10,15/9-F-5,,,,
2007-11-11,15/9-F-4,,,,
2007-11-11,15/9-F-5,,,,
2007-11-12,15/9-F-4,,,,
2007-11-12,15/9-F-5,,,,
2007-11-13,15/9-F-4,,,,
2007-11-13,15/9-F-5,,,,
2007-11-14,15/9-F-4,,,,
2007-11-14,15/9-F-5,,,,
2007-11-15,15/9-F-4,,,,
2007-11-15,15/9-F-5,,,,
2007-11-16,15/9-F-4,,,,
2007-11-16,15/9-F-5,,,,
2007-11-17,15/9-F-4,,,,
2007-11-17,15/9-F-5,,,,
2007-11-18,15/9-F-4,,,,
2007-11-18,15/9-F-5,,,,
2007-11-19,15/9-F-4,,,,
2007-11-19,15/9-F-5,,,,
2007-11-20,15/9-F-4,,,,
2007-11-20,15/9-F-5,,,,
2007-11-21,15/9-F-4,,,,
2007-11-21,15/9-F-5,,,,
2007-11-22,15/9-F-4,,,,
2007-11-22,15/9-F-5,,,,
2007-11-23,15/9-F-4,,,,
